time,step_frequency
2025-07-15 22:27:29.916263,0
2025-07-15 22:27:31.922879,0
2025-07-15 22:27:33.931711,1
2025-07-15 22:27:35.940310,1
2025-07-15 22:27:37.949645,2
2025-07-15 22:27:39.958637,5
2025-07-15 22:27:41.967868,5
2025-07-15 22:27:43.976641,5
2025-07-15 22:27:45.985252,7
2025-07-15 22:27:47.993151,7
2025-07-15 22:27:50.002222,9
2025-07-15 22:27:52.012007,11
2025-07-15 22:27:54.020642,11
2025-07-15 22:27:56.028583,12
2025-07-15 22:27:58.037312,12
2025-07-15 22:28:00.044996,12
2025-07-15 22:28:02.052574,17
2025-07-15 22:28:04.059119,17
2025-07-15 22:28:06.065507,17
2025-07-15 22:28:08.074919,17
2025-07-15 22:28:10.083954,17
2025-07-15 22:28:12.092068,17
2025-07-15 22:28:14.099697,19
2025-07-15 22:28:16.107526,21
2025-07-15 22:28:18.115881,23
2025-07-15 22:28:20.124447,25
2025-07-15 22:28:22.133310,27
2025-07-15 22:28:24.141122,29
2025-07-15 22:28:26.150475,31
2025-07-15 22:28:28.159536,33
2025-07-15 22:28:30.166409,32
2025-07-15 22:28:32.171972,32
2025-07-15 22:28:34.179897,31
2025-07-15 22:28:36.187834,28
2025-07-15 22:28:38.195384,28
2025-07-15 22:28:40.203342,28
2025-07-15 22:28:42.211289,26
2025-07-15 22:28:44.218936,26
2025-07-15 22:28:46.228515,24
2025-07-15 22:28:48.236892,22
2025-07-15 22:28:50.246972,22
2025-07-15 22:28:52.255338,21
2025-07-15 22:28:54.263924,21
2025-07-15 22:28:56.272482,21
2025-07-15 22:28:58.281435,16
2025-07-15 22:29:00.290232,16
2025-07-15 22:29:02.296673,16
2025-07-15 22:29:04.304477,16
2025-07-15 22:29:06.311841,16
2025-07-15 22:29:08.318344,16
2025-07-15 22:29:10.323475,14
2025-07-15 22:29:12.329964,12
2025-07-15 22:29:14.336747,10
2025-07-15 22:29:16.343483,8
2025-07-15 22:29:18.350263,6
2025-07-15 22:29:20.358023,4
2025-07-15 22:29:22.364483,2
2025-07-15 22:29:24.371049,0
2025-07-15 22:29:26.377649,0
2025-07-15 22:29:28.386497,0
2025-07-15 22:29:30.393180,0
2025-07-15 22:29:32.411087,0
2025-07-15 22:29:34.421597,0
2025-07-15 22:29:36.428442,0
2025-07-15 22:29:38.437327,0
2025-07-15 22:29:40.445270,0
2025-07-15 22:29:42.453149,1
2025-07-15 22:29:44.459744,1
2025-07-15 22:29:46.466119,1
2025-07-15 22:29:48.474800,1
2025-07-15 22:29:50.483811,1
2025-07-15 22:29:52.493406,3
2025-07-15 22:29:54.500999,5
2025-07-15 22:29:56.507829,7
2025-07-15 22:29:58.514705,9
2025-07-15 22:30:00.521529,11
2025-07-15 22:30:02.528395,13
2025-07-15 22:30:04.535436,15
2025-07-15 22:30:06.542366,17
2025-07-15 22:30:08.551141,17
2025-07-15 22:30:10.559634,17
2025-07-15 22:30:12.567845,19
2025-07-15 22:30:14.574502,21
2025-07-15 22:30:16.581231,23
2025-07-15 22:30:18.587586,25
2025-07-15 22:30:20.593665,27
2025-07-15 22:30:22.603096,29
2025-07-15 22:30:24.613005,31
2025-07-15 22:30:26.622056,33
2025-07-15 22:30:28.630015,35
2025-07-15 22:30:30.639304,37
2025-07-15 22:31:00.657620,24
2025-07-15 22:31:02.664963,22
2025-07-15 22:31:04.673769,22
2025-07-15 22:31:06.681830,22
2025-07-15 22:31:08.688586,20
2025-07-15 22:31:10.695248,18
2025-07-15 22:31:12.701842,16
2025-07-15 22:31:14.708308,14
2025-07-15 22:31:16.715230,17
2025-07-15 22:31:18.721453,15
2025-07-15 22:31:20.730499,13
2025-07-15 22:31:22.739055,11
2025-07-15 22:31:24.748215,9
2025-07-15 22:31:26.757068,7
2025-07-15 22:31:28.763382,5
2025-07-15 22:31:30.769823,5
2025-07-15 22:31:32.776446,5
2025-07-15 22:31:34.792185,5
2025-07-15 22:31:36.798652,7
2025-07-15 22:31:38.807105,7
2025-07-15 22:31:40.814890,7
2025-07-15 22:31:42.822705,7
2025-07-15 22:31:44.830782,7
2025-07-15 22:31:46.839338,7
2025-07-15 22:31:48.847112,7
2025-07-15 22:31:50.859845,7
2025-07-15 22:31:52.868621,7
2025-07-15 22:31:54.876478,7
2025-07-15 22:31:56.884003,7
2025-07-15 22:31:58.891899,7
2025-07-15 22:32:00.899725,8
2025-07-15 22:32:02.908390,10
2025-07-15 22:32:04.916613,15
2025-07-15 22:32:06.922717,21
2025-07-15 22:32:08.927748,26
2025-07-15 22:32:10.932926,28
2025-07-15 22:32:12.939170,25
2025-07-15 22:32:14.948347,25
2025-07-15 22:32:16.957686,25
2025-07-15 22:32:18.964640,25
2025-07-15 22:32:20.973010,25
2025-07-15 22:32:22.981226,25
2025-07-15 22:32:24.990394,25
2025-07-15 22:32:26.999263,25
2025-07-15 22:32:29.005732,26
2025-07-15 22:32:31.014214,27
2025-07-15 22:32:33.021979,27
2025-07-15 22:32:35.028854,29
2025-07-15 22:32:37.035913,29
2025-07-15 22:32:39.044103,29
2025-07-15 22:32:41.050660,30
2025-07-15 22:32:43.059378,32
2025-07-15 22:32:45.067415,32
2025-07-15 22:32:47.076910,37
2025-07-15 22:32:49.085568,37
2025-07-15 22:32:51.094685,37
2025-07-15 22:32:53.103927,40
2025-07-15 22:32:55.112235,43
2025-07-15 22:32:57.121611,43
2025-07-15 22:32:59.129603,42
2025-07-15 22:33:01.139145,38
2025-07-15 22:33:03.146821,33
2025-07-15 22:33:05.155023,30
2025-07-15 22:33:07.163019,28
2025-07-15 22:33:09.170657,26
2025-07-15 22:33:11.178786,27
2025-07-15 22:33:13.188140,29
2025-07-15 22:33:15.196987,31
2025-07-15 22:33:17.204771,31
2025-07-15 22:33:19.211227,31
2025-07-15 22:33:21.217923,31
2025-07-15 22:33:23.224265,31
2025-07-15 22:33:25.233555,30
2025-07-15 22:33:27.242701,29
2025-07-15 22:33:29.251500,27
2025-07-15 22:33:31.260339,25
2025-07-15 22:33:33.268809,25
2025-07-15 22:33:35.275245,25
2025-07-15 22:33:37.281669,24
2025-07-15 22:33:39.289975,22
2025-07-15 22:33:41.298995,22
2025-07-15 22:33:43.306855,17
2025-07-15 22:33:45.314945,17
2025-07-15 22:33:47.321545,17
2025-07-15 22:33:49.328008,14
2025-07-15 22:33:51.334548,11
2025-07-15 22:33:53.341257,10
2025-07-15 22:33:55.347752,9
2025-07-15 22:33:57.354451,8
2025-07-15 22:33:59.361211,7
2025-07-15 22:34:01.367939,5
2025-07-15 22:34:03.374330,5
2025-07-15 22:34:05.380983,5
2025-07-15 22:34:07.387504,4
2025-07-15 22:34:09.394205,2
2025-07-15 22:34:11.400862,0
2025-07-15 22:34:13.407381,0
2025-07-15 22:34:15.415654,0
2025-07-15 22:34:17.424104,0
2025-07-15 22:34:19.433229,0
2025-07-15 22:34:21.441666,0
2025-07-15 22:34:23.451064,0
2025-07-15 22:34:25.457629,0
2025-07-15 22:34:27.464404,0
2025-07-15 22:34:29.471196,0
2025-07-15 22:34:31.477946,0
2025-07-15 22:34:33.486761,0
2025-07-15 22:34:35.494637,0
2025-07-15 22:34:37.503146,0
2025-07-15 22:34:39.512300,0
2025-07-15 22:34:41.521104,0
2025-07-15 22:34:43.528541,0
2025-07-15 22:34:45.535502,0
2025-07-15 22:34:47.542245,0
2025-07-15 22:34:49.549461,0
2025-07-15 22:34:51.555858,0
2025-07-15 22:34:53.562349,0
2025-07-15 22:34:55.568833,0
2025-07-15 22:34:57.575903,0
2025-07-15 22:34:59.589571,0
2025-07-15 22:35:01.597582,0
2025-07-15 22:35:03.605653,0
2025-07-15 22:35:05.614987,0
2025-07-15 22:35:07.624324,0
2025-07-15 22:35:09.632535,0
2025-07-15 22:35:11.641468,0
2025-07-15 22:35:13.649508,0
2025-07-15 22:35:15.657492,0
2025-07-15 22:35:17.665494,0
2025-07-15 22:35:19.673483,0
2025-07-15 22:35:21.681540,0
2025-07-15 22:35:23.688999,0
2025-07-15 22:35:25.695791,0
2025-07-15 22:35:27.702426,0
2025-07-15 22:35:29.709698,0
2025-07-15 22:35:31.716724,0
2025-07-15 22:35:33.725679,0
2025-07-15 22:35:35.733812,0
2025-07-15 22:35:37.739696,0
2025-07-15 22:35:39.746403,0
2025-07-15 22:35:41.755535,0
2025-07-15 22:35:43.764326,0
2025-07-15 22:35:45.773894,0
2025-07-15 22:35:47.781753,0
2025-07-15 22:35:49.791016,0
2025-07-15 22:35:51.799429,0
2025-07-15 22:35:53.808055,0
2025-07-15 22:35:55.816634,0
2025-07-15 22:35:57.824770,0
2025-07-15 22:35:59.831133,0
