speed,step_frequency,heart_rate
0.053502176,0,74
0.098258804,0,75
0.084368816,0,75
0.404352984,0,76
0.31123862,0,76
3.664899056,5,92
3.866561104,10,99
3.80431338,20,108
3.766758968,25,116
3.537316944,30,124
3.4210526000000003,36,117
3.753897868,42,113
3.785793396,48,112
3.838266684,54,110
3.696794584,60,115
3.820775588,66,118
3.912861064,72,121
4.140759756,78,129
3.815631148,84,132
3.639176856,90,138
4.279659636000001,96,147
3.8969133,102,152
4.019350972,107,146
4.0898298,113,145
4.43193506,119,139
3.89176886,125,133
4.122754216,131,137
3.945271036,137,133
3.62425798,142,137
3.3829837439999997,147,137
3.208072784,153,134
3.301187148,159,136
3.630945752,159,132
3.519311404,160,135
3.654610176,161,133
3.23585276,162,129
3.5316580600000003,163,130
3.73229122,164,134
3.610367992,163,136
3.414364828,162,147
3.6139691,161,146
3.681361264,161,149
3.651523512,161,149
3.6000791120000004,161,149
3.62940242,160,150
3.141195064,160,149
2.9981796320000003,159,147
3.1123862,159,146
3.567154696,158,147
3.1772061440000003,159,146
3.245627196,158,146
3.424653708,158,146
3.65769684,158,147
3.185437248,158,148
3.2718638400000004,157,149
2.705460996,158,143
1.151325672,158,137
0.634823896,157,136
0.677008304,156,109
0.312267508,151,105
0.194974276,145,110
0.483062916,139,115
0.39097744,136,140
0.02829442,130,144
2.189988108,37,100
2.214166976,41,99
2.523862264,46,111
2.6344677240000003,51,122
2.622121068,54,130
2.467787868,57,138
2.487851184,61,144
2.282073584,64,133
2.704432108,67,125
2.490423404,70,125
2.847961984,74,117
2.588167764,79,117
1.152869004,82,116
2.848476428,85,116
2.78056982,89,107
2.3113968920000003,94,107
2.755876508,93,109
2.547012244,98,111
1.906529464,102,124
2.435377896,105,126
1.918361676,110,125
1.914760568,115,127
2.781084264,125,128
2.8886030600000003,130,132
2.872655296,134,132
3.104155096,138,133
2.745587628,141,134
3.026474052,141,134
2.740957632,141,136
2.926157472,141,135
3.209616116,141,140
2.7779976000000004,141,135
2.502255616,141,138
3.0146418400000004,142,136
2.480134524,142,138
2.949307452,142,137
2.684368792,142,135
2.5135733840000003,142,134
2.982746312,143,133
2.27384248,143,135
2.68539768,143,134
2.6169766279999997,143,136
2.1853581120000003,143,135
2.758963172,143,138
2.733755416,143,136
2.5999999760000003,143,138
2.94261968,143,139
2.299050236,143,138
2.757934284,143,138
2.39730904,143,142
2.480134524,143,140
1.811871768,143,142
2.3124257800000003,143,143
1.879263932,142,142
2.637554388,142,139
2.032568244,142,140
2.553700016,143,141
2.113335952,143,140
2.7178076520000003,143,144
2.135971488,143,147
2.289790244,142,145
2.056232668,142,145
2.539810028,142,145
1.907043908,142,144
2.596398868,142,143
2.298535792,141,143
2.4302334560000003,141,142
2.74455874,141,142
2.418915688,141,142
2.3921646,141,141
2.3252868799999997,141,139
1.483656496,141,140
1.142580124,141,139
0.773209332,142,139
0.328729716,143,138
0.082825484,138,132
0.0128611,133,108
1.097309052,2,91
1.07261574,5,91
1.323664412,8,93
1.557221988,10,95
1.169845656,13,100
1.105540156,16,96
1.269133348,20,97
1.398258792,22,97
1.351958832,24,96
1.212544508,27,95
1.52789868,29,96
1.581400856,32,97
1.242896704,34,99
1.203284516,37,101
1.322635524,40,101
1.351444388,42,101
1.056153532,45,101
1.041234656,47,101
1.2212900560000002,50,101
1.234151156,53,101
1.158013444,56,100
1.301028876,59,100
1.256786692,62,101
1.103996824,65,102
1.14721012,68,103
1.355045496,71,105
1.069014632,76,103
1.128175692,77,103
1.2999999880000002,78,102
1.329323296,77,101
1.091650168,77,99
1.254728916,77,95
1.398258792,77,93
1.249070032,75,90
1.560308652,75,90
1.394657684,76,86
1.142580124,75,93
1.110170152,76,98
1.415749888,76,98
1.477483168,77,96
1.125603472,76,87
1.47645428,75,82
1.305658872,76,80
1.094222388,76,82
1.155955668,76,89
1.356588828,76,100
1.03660466,76,97
1.159556776,76,96
1.23209338,76,96
1.12920458,76,98
1.079303512,75,83
1.32212108,74,83
1.212544508,73,83
0.963039168,72,96
1.227977828,73,95
1.115829036,73,100
1.003680244,71,98
1.274792232,72,98
1.30925998,73,97
0.9645825,72,97
1.243411148,71,96
1.1796200920000002,72,96
1.0360902159999998,73,96
0.995963584,74,96
1.425524324,74,95
1.083933508,73,94
0.997506916,73,94
1.22694894,73,96
1.070557964,73,95
1.042263544,73,96
1.2218045,73,96
1.150811228,74,94
1.109141264,73,95
0.981044708,73,95
1.212030064,73,95
1.1168579239999998,72,94
1.070557964,72,94
1.138979016,72,94
1.0340324399999998,72,93
1.127661248,73,93
1.171903432,73,94
1.200712296,72,95
1.202770072,72,94
0.767550448,72,93
0.965096944,71,93
1.09833794,71,93
1.03146022,71,93
0.941946964,71,95
1.040720212,71,95
0.804075972,70,95
0.984645816,69,95
0.8333992800000001,70,94
0.816422628,69,95
0.798931532,70,94
0.814364852,70,94
0.988246924,71,94
1.079303512,71,95
0.861179256,70,97
0.929600308,69,99
1.002136912,69,96
0.960466948,69,95
0.916739208,68,96
0.946062516,68,97
1.25267114,68,98
0.95686584,70,98
0.979501376,70,102
1.200197852,70,102
1.290225552,70,101
1.109655708,70,101
1.378195476,70,101
1.109655708,71,94
1.257301136,71,94
0.803561528,71,94
1.1379501280000002,71,93
1.043806876,71,96
0.945548072,71,97
1.254728916,71,97
1.230550048,71,98
0.91828254,70,99
0.989790256,72,98
0.985674704,71,97
0.834942612,71,98
1.048951316,70,97
0.90542144,70,96
0.936802524,71,97
0.84368816,70,98
0.703244948,70,98
0.7495449080000001,71,97
0.705817168,70,93
1.119430144,70,93
0.8117926320000001,71,93
0.98773248,72,94
0.757261568,70,97
1.2645033520000002,71,97
0.937316968,70,96
0.896161448,71,96
1.16007122,70,95
1.223862276,69,97
0.589552824,70,98
0.939889188,70,94
1.071072408,70,93
1.16007122,71,93
1.006252464,70,94
1.056153532,70,95
1.645191912,71,95
0.965096944,71,93
0.8719825800000001,69,93
1.056667976,70,93
0.230470912,69,93
0.86941036,69,92
0.78709932,70,93
0.8544914840000001,71,93
1.042263544,71,92
1.156470112,72,93
0.965096944,72,94
1.169845656,72,97
1.074673516,73,98
1.22694894,72,96
1.231064492,70,96
1.310803312,70,96
1.076731292,69,96
0.898219224,69,97
1.0530668680000002,70,98
1.004709132,70,98
0.885358124,70,97
0.638425004,72,97
0.822595956,73,93
0.12603878,75,82
0.5730906160000001,73,79
0.3986941,70,75
4.863039132,68,48
5.187138852,71,48
6.046774776,65,45
8.407043847999999,63,98
3.123189524,60,98
1.642619692,58,98
