speed,step_frequency,heart_rate
0.053502176,0,74
0.098258804,0,75
0.084368816,0,75
0.404352984,0,76
0.31123862,0,76
3.664899056,5,92
3.866561104,10,99
3.80431338,20,108
3.766758968,25,116
3.537316944,30,124
3.4210526000000003,36,117
3.753897868,42,113
3.785793396,48,112
3.838266684,54,110
3.696794584,60,115
3.820775588,66,118
3.912861064,72,121
4.140759756,78,129
3.815631148,84,132
3.639176856,90,138
4.279659636000001,96,147
3.8969133,102,152
4.019350972,107,146
4.0898298,113,145
4.43193506,119,139
3.89176886,125,133
4.122754216,131,137
3.945271036,137,133
3.62425798,142,137
3.3829837439999997,147,137
3.208072784,153,134
3.301187148,159,136
3.630945752,159,132
3.519311404,160,135
3.654610176,161,133
3.23585276,162,129
3.5316580600000003,163,130
3.73229122,164,134
3.610367992,163,136
3.414364828,162,147
3.6139691,161,146
3.681361264,161,149
3.651523512,161,149
3.6000791120000004,161,149
3.62940242,160,150
3.141195064,160,149
2.9981796320000003,159,147
3.1123862,159,146
3.567154696,158,147
3.1772061440000003,159,146
3.245627196,158,146
3.424653708,158,146
3.65769684,158,147
3.185437248,158,148
3.2718638400000004,157,149
2.705460996,158,143
1.151325672,158,137
0.634823896,157,136
0.677008304,156,109
0.312267508,151,105
0.194974276,145,110
0.483062916,139,115
0.39097744,136,140
0.02829442,130,144
0.04887218,124,143
0.019034428,119,142
0.06687772,114,140
0.015947764,109,138
0.021606648,103,137
0.025207756,97,135
0.01800554,91,135
0.019548872,91,134
0.0375544119999999,92,131
0.04115552,92,130
0.017491096,93,129
0.0113177679999999,93,127
0.051958844,94,127
0.00257222,94,125
0.04115552,90,125
0.058646616,89,124
0.071507716,83,123
0.010803324,78,121
0.040641076,74,121
0.012346656,72,119
0.043213296,67,118
0.0128611,62,117
0.008745548,62,115
0.034467748,62,113
0.013375544,62,112
0.03343886,64,110
0.039097744,69,109
0.048357736,69,107
0.070993272,71,110
0.04887218,73,88
0.013889988,75,82
0.04629996,77,71
0.067906608,79,54
0.104432132,81,54
0.13375544,80,54
0.076652156,79,54
0.157934308,75,54
0.032409972,69,54
0.055045508,65,53
0.067906608,61,58
0.067906608,57,61
0.034467748,53,58
0.0375544119999999,52,54
0.013889988,47,56
0.0375544119999999,47,57
0.034982192,47,62
0.043213296,46,79
0.067906608,46,98
0.0303521959999999,46,88
0.27522754,46,88
0.060189948,46,88
0.0514444,46,88
0.098258804,41,88
0.04372774,36,88
0.043213296,36,88
0.0303521959999999,34,88
0.027779976,32,44
0.073051048,32,40
0.093114364,30,40
0.012346656,28,40
0.02057776,26,40
0.024178868,21,40
0.0303521959999999,16,40
0.062247724,19,40
0.038068856,19,40
0.066363276,22,40
0.076137712,20,40
0.03343886,18,40
0.046814404,22,40
0.026751088,27,40
0.081796596,32,40
0.024178868,37,46
0.075623268,42,125
0.06173328,46,125
0.067906608,54,115
0.018519984,59,100
0.031381084,64,100
0.00514444,69,100
0.022121092,69,78
0.03601108,69,41
0.012346656,70,57
0.028808864,70,64
0.013375544,70,65
0.027779976,71,87
0.080767708,69,87
0.09259992,69,87
0.041669964,70,87
0.104946576,70,86
0.083854372,70,82
0.047843292,70,77
0.0514444,66,74
0.050929956,67,74
0.054531064,62,76
0.012346656,62,80
0.036525524,64,85
0.08745548,60,87
0.05658884,56,88
0.0113177679999999,53,88
0.049386624,50,87
0.008231104,47,93
0.102374356,42,93
0.107518796,37,92
0.073565492,34,92
0.047843292,27,87
0.224812028,22,88
0.063276612,28,90
0.194974276,28,92
0.052473288,28,93
0.052473288,30,93
0.016462208,30,93
0.11060546,29,93
0.10546102,29,93
0.129125444,29,91
0.098258804,28,90
0.01543332,29,89
0.698100508,31,90
1.2346656,33,90
2.189988108,37,100
2.214166976,41,99
2.523862264,46,111
2.6344677240000003,51,122
2.622121068,54,130
2.467787868,57,138
2.487851184,61,144
2.282073584,64,133
2.704432108,67,125
2.490423404,70,125
2.847961984,74,117
2.588167764,79,117
1.152869004,82,116
2.848476428,85,116
2.78056982,89,107
2.3113968920000003,94,107
2.755876508,93,109
2.547012244,98,111
1.906529464,102,124
2.435377896,105,126
1.918361676,110,125
1.914760568,115,127
2.781084264,125,128
2.8886030600000003,130,132
2.872655296,134,132
3.104155096,138,133
2.745587628,141,134
3.026474052,141,134
2.740957632,141,136
2.926157472,141,135
3.209616116,141,140
2.7779976000000004,141,135
2.502255616,141,138
3.0146418400000004,142,136
2.480134524,142,138
2.949307452,142,137
2.684368792,142,135
2.5135733840000003,142,134
2.982746312,143,133
2.27384248,143,135
2.68539768,143,134
2.6169766279999997,143,136
2.1853581120000003,143,135
2.758963172,143,138
2.733755416,143,136
2.5999999760000003,143,138
2.94261968,143,139
2.299050236,143,138
2.757934284,143,138
2.39730904,143,142
2.480134524,143,140
1.811871768,143,142
2.3124257800000003,143,143
1.879263932,142,142
2.637554388,142,139
2.032568244,142,140
2.553700016,143,141
2.113335952,143,140
2.7178076520000003,143,144
2.135971488,143,147
2.289790244,142,145
2.056232668,142,145
2.539810028,142,145
1.907043908,142,144
2.596398868,142,143
2.298535792,141,143
2.4302334560000003,141,142
2.74455874,141,142
2.418915688,141,142
2.3921646,141,141
2.3252868799999997,141,139
1.483656496,141,140
1.142580124,141,139
0.773209332,142,139
0.328729716,143,138
0.082825484,138,132
0.0128611,133,108
0.025207756,128,104
0.0375544119999999,128,71
0.06687772,125,56
0.035496636,121,54
0.03601108,116,63
0.044756628,111,61
0.042184408,106,58
0.029323308,101,49
0.043213296,98,47
0.021606648,93,54
0.0375544119999999,90,63
0.062247724,90,67
0.0375544119999999,85,63
0.045785516,82,43
0.0257222,79,40
0.034467748,76,41
0.011832212,76,41
0.014404432,76,46
0.003086664,71,44
0.011832212,66,44
0.034467748,66,50
0.02314998,66,44
0.0128611,66,48
0.051958844,65,50
0.011832212,64,46
0.027265532,69,47
0.019034428,74,45
0.0257222,79,40
0.048357736,79,52
0.029837752,82,97
0.047328848,86,68
0.029323308,91,53
0.034982192,96,55
0.0113177679999999,100,52
0.0529877319999999,105,49
0.011832212,108,43
0.040641076,108,46
0.058646616,106,46
0.185714284,107,66
0.062762168,107,58
0.036525524,111,68
0.217095368,115,78
0.03343886,118,75
0.128096556,118,90
0.19034428,118,79
0.190858724,118,71
0.104432132,123,69
0.05916106,128,56
0.069964384,129,60
0.096201028,129,69
0.06173328,124,64
0.036525524,119,67
0.047328848,120,51
0.038068856,121,69
0.039097744,122,70
0.032924416,123,66
0.020063316,124,90
0.029837752,125,91
0.060189948,126,92
0.040641076,127,91
0.013375544,128,90
0.0226355359999999,129,89
0.037039968,130,89
0.073051048,136,90
0.092085476,142,91
0.063276612,142,92
0.086941036,148,92
0.012346656,148,92
0.112663236,148,93
0.139928768,149,93
0.153818756,150,93
0.103917688,151,92
0.149703204,152,92
0.237158684,147,93
0.22121092,148,93
0.094657696,147,92
0.029323308,147,92
0.096715472,147,92
0.060189948,142,93
0.067392164,142,93
0.062762168,136,92
0.065334388,130,92
0.05658884,124,91
0.014918876,118,90
0.009259992,112,90
0.042698852,106,89
0.040641076,100,90
0.02314998,88,91
0.019548872,82,93
0.081282152,76,95
0.056074396,70,95
0.023664424,64,94
0.057103284,58,93
0.029323308,52,92
0.046814404,46,92
0.1214087839999999,40,93
0.071507716,34,94
0.100831024,29,93
