speed,step_frequency,heart_rate
1.4861715555555556e-05,0,74
2.7294112222222224e-05,0,75
2.3435782222222222e-05,0,75
0.00011232027333333334,0,76
8.645517222222223e-05,0,76
0.0010180275155555556,5,92
0.0010740447511111112,10,99
0.0010567537166666667,20,108
0.0010463219355555556,25,116
0.00098258804,30,124
0.000950292388888889,36,117
0.0010427494077777778,42,113
0.0010516092766666666,48,112
0.00106618519,54,110
0.0010268873844444444,60,115
0.0010613265522222222,66,118
0.001086905851111111,72,121
0.0011502110433333332,78,129
0.0010598975411111112,84,132
0.00101088246,90,138
0.0011887943433333335,96,147
0.0010824759166666667,102,152
0.001116486381111111,107,146
0.0011360638333333334,113,145
0.001231093072222222,119,139
0.0010810469055555555,125,133
0.0011452095044444444,131,137
0.0010959086211111111,137,133
0.0010067383277777777,142,137
0.0009397177066666666,147,137
0.0008911313288888889,153,134
0.00091699643,159,136
0.0010085960422222223,159,132
0.000977586501111111,160,135
0.0010151694933333332,161,133
0.000898847988888889,162,129
0.0009810161277777779,163,130
0.001036747561111111,164,134
0.0010028799977777779,163,136
0.0009484346744444445,162,147
0.0010038803055555554,161,146
0.0010226003511111111,161,149
0.0010143120866666665,161,149
0.0010000219755555556,161,149
0.0010081673388888889,160,150
0.0008725541844444445,160,149
0.0008328276755555556,159,147
0.0008645517222222222,159,146
0.0009908763044444444,158,147
0.0008825572622222223,159,146
0.00090156311,158,146
0.0009512926966666667,158,146
0.0010160269,158,147
0.00088484368,158,148
0.0009088510666666668,157,149
0.0007515169433333332,158,143
0.00031981268666666666,158,137
0.00017633997111111112,157,136
0.00018805786222222221,156,109
8.674097444444445e-05,151,105
5.415952111111111e-05,145,110
0.00013418414333333335,139,115
0.00010860484444444444,136,140
7.85956111111111e-06,130,144
1.3575605555555555e-05,124,143
5.287341111111111e-06,119,142
1.8577144444444444e-05,114,140
4.429934444444445e-06,109,138
6.001846666666666e-06,103,137
7.002154444444445e-06,97,135
5.001538888888889e-06,91,135
5.430242222222222e-06,91,134
1.0431781111111082e-05,92,131
1.143208888888889e-05,92,130
4.858637777777778e-06,93,129
3.1438244444444166e-06,93,127
1.4433012222222221e-05,94,127
7.145055555555556e-07,94,125
1.143208888888889e-05,90,125
1.6290726666666667e-05,89,124
1.9863254444444443e-05,83,123
3.000923333333333e-06,78,121
1.1289187777777776e-05,74,121
3.4296266666666663e-06,72,119
1.2003693333333332e-05,67,118
3.572527777777778e-06,62,117
2.429318888888889e-06,62,115
9.574374444444443e-06,62,113
3.715428888888889e-06,62,112
9.288572222222222e-06,64,110
1.0860484444444444e-05,69,109
1.3432704444444444e-05,69,107
1.9720353333333333e-05,71,110
1.3575605555555555e-05,73,88
3.85833e-06,75,82
1.28611e-05,77,71
1.8862946666666664e-05,79,54
2.9008925555555555e-05,81,54
3.715428888888889e-05,80,54
2.1292265555555554e-05,79,54
4.387064111111111e-05,75,54
9.002770000000001e-06,69,54
1.529041888888889e-05,65,53
1.8862946666666664e-05,61,58
1.8862946666666664e-05,57,61
9.574374444444443e-06,53,58
1.0431781111111082e-05,52,54
3.85833e-06,47,56
1.0431781111111082e-05,47,57
9.717275555555557e-06,47,62
1.2003693333333332e-05,46,79
1.8862946666666664e-05,46,98
8.431165555555528e-06,46,88
7.645209444444444e-05,46,88
1.671943e-05,46,88
1.4290111111111111e-05,46,88
2.7294112222222224e-05,41,88
1.2146594444444445e-05,36,88
1.2003693333333332e-05,36,88
8.431165555555528e-06,34,88
7.71666e-06,32,44
2.0291957777777776e-05,32,40
2.5865101111111112e-05,30,40
3.4296266666666663e-06,28,40
5.716044444444445e-06,26,40
6.716352222222222e-06,21,40
8.431165555555528e-06,16,40
1.7291034444444443e-05,19,40
1.0574682222222222e-05,19,40
1.8434243333333335e-05,22,40
2.1149364444444445e-05,20,40
9.288572222222222e-06,18,40
1.3004001111111111e-05,22,40
7.430857777777778e-06,27,40
2.2721276666666666e-05,32,40
6.716352222222222e-06,37,46
2.100646333333333e-05,42,125
1.7148133333333333e-05,46,125
1.8862946666666664e-05,54,115
5.14444e-06,59,100
8.716967777777776e-06,64,100
1.4290111111111112e-06,69,100
6.144747777777778e-06,69,78
1.0003077777777778e-05,69,41
3.4296266666666663e-06,70,57
8.002462222222222e-06,70,64
3.715428888888889e-06,70,65
7.71666e-06,71,87
2.2435474444444443e-05,69,87
2.57222e-05,69,87
1.157499e-05,70,87
2.9151826666666665e-05,70,86
2.329288111111111e-05,70,82
1.3289803333333334e-05,70,77
1.4290111111111111e-05,66,74
1.414721e-05,67,74
1.5147517777777777e-05,62,76
3.4296266666666663e-06,62,80
