time,x,y,z
2025-07-09 17:14:29.757185,-1.08,-0.044,-0.06
2025-07-09 17:14:29.759225,-1.08,-0.044,-0.06
2025-07-09 17:14:29.760262,-1.064,-0.032,-0.048
2025-07-09 17:14:29.761031,-1.064,-0.032,-0.048
2025-07-09 17:14:29.762214,-1.052,-0.048,-0.076
2025-07-09 17:14:29.762985,-1.052,-0.048,-0.076
2025-07-09 17:14:29.763775,-1.076,-0.104,-0.084
2025-07-09 17:14:29.764482,-1.076,-0.104,-0.084
2025-07-09 17:14:29.765687,-1.06,-0.112,-0.088
2025-07-09 17:14:29.766419,-1.06,-0.112,-0.088
2025-07-09 17:14:29.774957,-1.04,-0.076,-0.096
2025-07-09 17:14:29.776045,-1.04,-0.076,-0.096
2025-07-09 17:14:29.793693,-1.016,-0.068,-0.1
2025-07-09 17:14:29.794797,-1.016,-0.068,-0.1
2025-07-09 17:14:29.812538,-1.028,-0.076,-0.096
2025-07-09 17:14:29.813618,-1.028,-0.076,-0.096
2025-07-09 17:14:29.831189,-1.036,-0.076,-0.104
2025-07-09 17:14:29.832268,-1.036,-0.076,-0.104
2025-07-09 17:14:29.849935,-1.036,-0.076,-0.112
2025-07-09 17:14:29.851092,-1.036,-0.076,-0.112
2025-07-09 17:14:29.868749,-1.04,-0.116,-0.112
2025-07-09 17:14:29.869844,-1.04,-0.116,-0.112
2025-07-09 17:14:29.887435,-1.056,-0.132,-0.128
2025-07-09 17:14:29.888506,-1.056,-0.132,-0.128
2025-07-09 17:14:29.906175,-1.056,-0.132,-0.132
2025-07-09 17:14:29.907245,-1.056,-0.132,-0.132
2025-07-09 17:14:29.924938,-1.06,-0.132,-0.14
2025-07-09 17:14:29.926017,-1.06,-0.132,-0.14
2025-07-09 17:14:29.962426,-1.052,-0.124,-0.144
2025-07-09 17:14:29.963509,-1.052,-0.124,-0.144
2025-07-09 17:14:29.981200,-1.052,-0.112,-0.148
2025-07-09 17:14:29.982292,-1.052,-0.112,-0.148
2025-07-09 17:14:29.999920,-1.048,-0.116,-0.16
2025-07-09 17:14:30.000994,-1.048,-0.116,-0.16
2025-07-09 17:14:30.018667,-1.06,-0.116,-0.156
2025-07-09 17:14:30.019762,-1.06,-0.116,-0.156
2025-07-09 17:14:30.037443,-1.056,-0.144,-0.144
2025-07-09 17:14:30.038529,-1.056,-0.144,-0.144
2025-07-09 17:14:30.056177,-1.08,-0.152,-0.144
2025-07-09 17:14:30.057265,-1.08,-0.152,-0.144
2025-07-09 17:14:30.074933,-1.084,-0.152,-0.144
2025-07-09 17:14:30.076008,-1.084,-0.152,-0.144
2025-07-09 17:14:30.093689,-1.06,-0.124,-0.136
2025-07-09 17:14:30.094760,-1.06,-0.124,-0.136
2025-07-09 17:14:30.112419,-1.044,-0.06,-0.156
2025-07-09 17:14:30.113484,-1.044,-0.06,-0.156
2025-07-09 17:14:30.131182,-1.044,-0.048,-0.168
2025-07-09 17:14:30.132247,-1.044,-0.048,-0.168
2025-07-09 17:14:30.149933,-1.048,-0.068,-0.172
2025-07-09 17:14:30.151002,-1.048,-0.068,-0.172
2025-07-09 17:14:30.168669,-1.052,-0.088,-0.176
2025-07-09 17:14:30.169743,-1.052,-0.088,-0.176
2025-07-09 17:14:30.187413,-1.08,-0.1,-0.18
2025-07-09 17:14:30.188477,-1.08,-0.1,-0.18
2025-07-09 17:14:30.206182,-1.084,-0.104,-0.196
2025-07-09 17:14:30.207250,-1.084,-0.104,-0.196
2025-07-09 17:14:30.243665,-1.1,-0.076,-0.208
2025-07-09 17:14:30.244736,-1.1,-0.076,-0.208
2025-07-09 17:14:30.262450,-1.112,-0.052,-0.204
2025-07-09 17:14:30.263549,-1.112,-0.052,-0.204
2025-07-09 17:14:30.281165,-1.132,-0.032,-0.192
2025-07-09 17:14:30.282235,-1.132,-0.032,-0.192
2025-07-09 17:14:30.299917,-1.116,-0.032,-0.196
2025-07-09 17:14:30.300986,-1.116,-0.032,-0.196
2025-07-09 17:14:30.318687,-1.108,-0.048,-0.192
2025-07-09 17:14:30.320168,-1.108,-0.048,-0.192
2025-07-09 17:14:30.356142,-1.104,-0.06,-0.172
2025-07-09 17:14:30.357262,-1.104,-0.06,-0.172
2025-07-09 17:14:30.358152,-1.116,-0.076,-0.176
2025-07-09 17:14:30.358917,-1.116,-0.076,-0.176
2025-07-09 17:14:30.374924,-1.104,-0.06,-0.156
2025-07-09 17:14:30.375995,-1.104,-0.06,-0.156
2025-07-09 17:14:30.393666,-1.064,-0.024,-0.16
2025-07-09 17:14:30.394723,-1.064,-0.024,-0.16
2025-07-09 17:14:30.412433,-1.06,-0.028,-0.16
2025-07-09 17:14:30.413516,-1.06,-0.028,-0.16
2025-07-09 17:14:30.431171,-1.068,-0.052,-0.156
2025-07-09 17:14:30.432236,-1.068,-0.052,-0.156
2025-07-09 17:14:30.449908,-1.048,-0.036,-0.184
2025-07-09 17:14:30.450973,-1.048,-0.036,-0.184
2025-07-09 17:14:30.468683,-1.044,-0.028,-0.184
2025-07-09 17:14:30.469762,-1.044,-0.028,-0.184
2025-07-09 17:14:30.487430,-1.036,0,-0.208
2025-07-09 17:14:30.488532,-1.036,0,-0.208
2025-07-09 17:14:30.506174,-1.032,0.04,-0.224
2025-07-09 17:14:30.507246,-1.032,0.04,-0.224
2025-07-09 17:14:30.543677,-1.036,0.044,-0.24
2025-07-09 17:14:30.544761,-1.036,0.044,-0.24
2025-07-09 17:14:30.562415,-1.048,0.044,-0.244
2025-07-09 17:14:30.563481,-1.048,0.044,-0.244
2025-07-09 17:14:30.581183,-1.068,0.024,-0.236
2025-07-09 17:14:30.582263,-1.068,0.024,-0.236
2025-07-09 17:14:30.599913,-1.072,0.004,-0.232
2025-07-09 17:14:30.600982,-1.072,0.004,-0.232
2025-07-09 17:14:30.618663,-1.084,-0.032,-0.224
2025-07-09 17:14:30.619750,-1.084,-0.032,-0.224
2025-07-09 17:14:30.637438,-1.06,-0.052,-0.216
2025-07-09 17:14:30.638501,-1.06,-0.052,-0.216
2025-07-09 17:14:30.656444,-1.056,-0.068,-0.2
2025-07-09 17:14:30.657577,-1.056,-0.068,-0.2
2025-07-09 17:14:30.675090,-1.056,-0.084,-0.18
2025-07-09 17:14:30.676444,-1.056,-0.084,-0.18
2025-07-09 17:14:30.693836,-1.052,-0.104,-0.184
2025-07-09 17:14:30.695105,-1.052,-0.104,-0.184
2025-07-09 17:14:30.714134,-1.064,-0.104,-0.184
2025-07-09 17:14:30.715507,-1.064,-0.104,-0.184
2025-07-09 17:14:30.732749,-1.06,-0.112,-0.188
2025-07-09 17:14:30.734126,-1.06,-0.112,-0.188
2025-07-09 17:14:30.750149,-1.064,-0.112,-0.184
2025-07-09 17:14:30.751401,-1.064,-0.112,-0.184
2025-07-09 17:14:30.769744,-1.06,-0.108,-0.192
2025-07-09 17:14:30.775661,-1.06,-0.108,-0.192
2025-07-09 17:14:30.787641,-1.06,-0.108,-0.188
2025-07-09 17:14:30.788967,-1.06,-0.108,-0.188
2025-07-09 17:14:30.825064,-1.064,-0.1,-0.184
2025-07-09 17:14:30.826359,-1.064,-0.1,-0.184
2025-07-09 17:14:30.843825,-1.06,-0.112,-0.192
2025-07-09 17:14:30.845117,-1.06,-0.112,-0.192
2025-07-09 17:14:30.862635,-1.072,-0.108,-0.192
2025-07-09 17:14:30.864072,-1.072,-0.108,-0.192
2025-07-09 17:14:30.881348,-1.056,-0.096,-0.196
2025-07-09 17:14:30.882686,-1.056,-0.096,-0.196
2025-07-09 17:14:30.900105,-1.06,-0.092,-0.188
2025-07-09 17:14:30.901434,-1.06,-0.092,-0.188
2025-07-09 17:14:30.918832,-1.06,-0.092,-0.192
2025-07-09 17:14:30.920153,-1.06,-0.092,-0.192
2025-07-09 17:14:30.937578,-1.068,-0.088,-0.196
2025-07-09 17:14:30.938889,-1.068,-0.088,-0.196
2025-07-09 17:14:30.956361,-1.064,-0.084,-0.192
2025-07-09 17:14:30.957663,-1.064,-0.084,-0.192
2025-07-09 17:14:30.975066,-1.064,-0.08,-0.196
2025-07-09 17:14:30.976339,-1.064,-0.08,-0.196
2025-07-09 17:14:30.993809,-1.068,-0.076,-0.204
2025-07-09 17:14:30.995082,-1.068,-0.076,-0.204
2025-07-09 17:14:31.012583,-1.068,-0.068,-0.2
2025-07-09 17:14:31.013844,-1.068,-0.068,-0.2
2025-07-09 17:14:31.050024,-1.076,-0.06,-0.2
2025-07-09 17:14:31.051574,-1.076,-0.06,-0.2
2025-07-09 17:14:31.052740,-1.068,-0.06,-0.204
2025-07-09 17:14:31.053747,-1.068,-0.06,-0.204
