time,x,y,z
2025-07-10 14:48:40.256398,-1.012,0.176,-0.392
2025-07-10 14:48:40.259076,-1.012,0.176,-0.392
2025-07-10 14:48:40.272928,-1,0.172,-0.384
2025-07-10 14:48:40.274283,-1,0.172,-0.384
2025-07-10 14:48:40.292074,-0.992,0.172,-0.392
2025-07-10 14:48:40.293434,-0.992,0.172,-0.392
2025-07-10 14:48:40.310280,-1.008,0.18,-0.388
2025-07-10 14:48:40.311916,-1.008,0.18,-0.388
2025-07-10 14:48:40.329006,-1.008,0.184,-0.388
2025-07-10 14:48:40.330647,-1.008,0.184,-0.388
2025-07-10 14:48:40.347751,-1,0.184,-0.4
2025-07-10 14:48:40.349012,-1,0.184,-0.4
2025-07-10 14:48:40.367304,-1.008,0.184,-0.388
2025-07-10 14:48:40.368684,-1.008,0.184,-0.388
2025-07-10 14:48:40.385286,-1,0.18,-0.396
2025-07-10 14:48:40.386583,-1,0.18,-0.396
2025-07-10 14:48:40.404041,-1,0.18,-0.392
2025-07-10 14:48:40.405345,-1,0.18,-0.392
2025-07-10 14:48:40.441522,-0.996,0.18,-0.392
2025-07-10 14:48:40.442822,-0.996,0.18,-0.392
2025-07-10 14:48:40.460297,-1.004,0.18,-0.384
2025-07-10 14:48:40.461598,-1.004,0.18,-0.384
2025-07-10 14:48:40.479077,-1.004,0.184,-0.392
2025-07-10 14:48:40.480376,-1.004,0.184,-0.392
2025-07-10 14:48:40.497804,-1,0.176,-0.372
2025-07-10 14:48:40.499082,-1,0.176,-0.372
2025-07-10 14:48:40.516548,-1,0.18,-0.396
2025-07-10 14:48:40.517807,-1,0.18,-0.396
2025-07-10 14:48:40.535320,-1,0.18,-0.388
2025-07-10 14:48:40.536605,-1,0.18,-0.388
2025-07-10 14:48:40.554047,-1.012,0.184,-0.4
2025-07-10 14:48:40.555304,-1.012,0.184,-0.4
2025-07-10 14:48:40.572792,-1,0.172,-0.384
2025-07-10 14:48:40.574064,-1,0.172,-0.384
2025-07-10 14:48:40.591566,-0.992,0.176,-0.392
2025-07-10 14:48:40.592857,-0.992,0.176,-0.392
2025-07-10 14:48:40.610296,-1.004,0.172,-0.384
2025-07-10 14:48:40.611562,-1.004,0.172,-0.384
2025-07-10 14:48:40.629140,-1,0.18,-0.392
2025-07-10 14:48:40.630462,-1,0.18,-0.392
2025-07-10 14:48:40.647872,-0.996,0.18,-0.38
2025-07-10 14:48:40.649139,-0.996,0.18,-0.38
2025-07-10 14:48:40.666588,-1,0.18,-0.392
2025-07-10 14:48:40.671558,-1,0.18,-0.392
2025-07-10 14:48:40.704116,-1.004,0.184,-0.392
2025-07-10 14:48:40.705696,-1.004,0.184,-0.392
2025-07-10 14:48:40.710571,-1.004,0.18,-0.392
2025-07-10 14:48:40.711546,-1.004,0.18,-0.392
2025-07-10 14:48:40.741682,-1.008,0.168,-0.384
2025-07-10 14:48:40.743162,-1.008,0.168,-0.384
2025-07-10 14:48:40.760361,-1.004,0.172,-0.388
2025-07-10 14:48:40.761638,-1.004,0.172,-0.388
2025-07-10 14:48:40.779079,-1,0.172,-0.392
2025-07-10 14:48:40.780339,-1,0.172,-0.392
2025-07-10 14:48:40.797824,-1,0.172,-0.384
2025-07-10 14:48:40.799071,-1,0.172,-0.384
2025-07-10 14:48:40.816589,-1.008,0.18,-0.384
2025-07-10 14:48:40.817828,-1.008,0.18,-0.384
2025-07-10 14:48:40.835319,-1.008,0.184,-0.38
2025-07-10 14:48:40.836575,-1.008,0.184,-0.38
2025-07-10 14:48:40.854073,-1,0.176,-0.392
2025-07-10 14:48:40.855315,-1,0.176,-0.392
2025-07-10 14:48:40.872842,-1.012,0.168,-0.392
2025-07-10 14:48:40.874091,-1.012,0.168,-0.392
2025-07-10 14:48:40.891570,-1.008,0.164,-0.388
2025-07-10 14:48:40.892816,-1.008,0.164,-0.388
2025-07-10 14:48:40.910320,-1.004,0.168,-0.396
2025-07-10 14:48:40.911545,-1.004,0.168,-0.396
2025-07-10 14:48:40.929089,-1.004,0.172,-0.396
2025-07-10 14:48:40.930319,-1.004,0.172,-0.396
2025-07-10 14:48:40.947828,-1,0.168,-0.384
2025-07-10 14:48:40.949067,-1,0.168,-0.384
2025-07-10 14:48:40.966566,-1,0.176,-0.4
2025-07-10 14:48:40.967804,-1,0.176,-0.4
2025-07-10 14:48:40.985343,-0.988,0.18,-0.4
2025-07-10 14:48:40.986587,-0.988,0.18,-0.4
2025-07-10 14:48:41.022821,-1.004,0.172,-0.388
2025-07-10 14:48:41.024074,-1.004,0.172,-0.388
2025-07-10 14:48:41.041591,-1,0.184,-0.396
2025-07-10 14:48:41.042823,-1,0.184,-0.396
2025-07-10 14:48:41.060323,-1.004,0.176,-0.396
2025-07-10 14:48:41.061567,-1.004,0.176,-0.396
2025-07-10 14:48:41.079059,-1,0.168,-0.4
2025-07-10 14:48:41.080289,-1,0.168,-0.4
2025-07-10 14:48:41.097825,-1.004,0.176,-0.396
2025-07-10 14:48:41.099055,-1.004,0.176,-0.396
2025-07-10 14:48:41.116559,-1.004,0.16,-0.396
2025-07-10 14:48:41.117807,-1.004,0.16,-0.396
2025-07-10 14:48:41.135306,-1.004,0.164,-0.392
2025-07-10 14:48:41.136536,-1.004,0.164,-0.392
2025-07-10 14:48:41.172785,-1.004,0.172,-0.384
2025-07-10 14:48:41.174330,-1.004,0.172,-0.384
2025-07-10 14:48:41.175415,-1.004,0.168,-0.396
2025-07-10 14:48:41.176518,-1.004,0.168,-0.396
2025-07-10 14:48:41.191566,-1,0.164,-0.388
2025-07-10 14:48:41.192940,-1,0.164,-0.388
2025-07-10 14:48:41.210334,-1.008,0.168,-0.392
2025-07-10 14:48:41.211664,-1.008,0.168,-0.392
